age(ka),d18OcarbVPDB
19.741,-12.07
19.744,-12.12
19.747,-11.92
19.75,-11.91
19.753,-11.87
19.757,-12.08
19.76,-11.76
19.763,-11.95
19.766,-12.01
19.769,-12.16
19.772,-12.31
19.775,-12.26
19.778,-12.11
19.781,-12.06
19.784,-12.15
19.788,-12.27
19.791,-12.16
19.794,-12.19
19.797,-12.38
19.8,-12.44
19.803,-12.39
19.806,-12.37
19.809,-12.28
19.812,-12.27
19.815,-12.11
19.818,-12.2
19.822,-12.1
19.825,-12.04
19.828,-12.04
19.831,-12.05
19.834,-12.06
19.837,-12.11
19.84,-12.09
19.843,-12.15
19.846,-12.02
19.849,-12.14
19.853,-12.19
19.856,-12.18
19.859,-12.4
19.862,-12.31
19.865,-12.33
19.868,-12.33
19.871,-12.32
19.874,-12.33
19.877,-12.43
19.881,-12.32
19.884,-12.43
19.887,-12.44
19.89,-12.42
19.893,-12.38
19.896,-12.36
19.9,-12.24
19.904,-12.19
19.908,-12.38
19.912,-12.58
19.917,-12.6
19.921,-12.6
19.929,-12.5
19.933,-12.5
19.937,-12.52
19.941,-12.55
19.945,-12.66
19.949,-12.55
19.954,-12.42
19.958,-12.55
19.962,-12.57
19.966,-12.6
19.97,-12.61
19.974,-12.56
19.978,-12.62
19.982,-12.66
19.986,-12.65
19.991,-12.7
19.995,-12.45
19.999,-12.4
20.003,-12.56
20.007,-12.47
20.011,-12.21
20.015,-12.2
20.019,-12.25
20.023,-12.3
20.028,-12.34
20.032,-12.34
20.036,-12.28
20.04,-12.22
20.044,-12.22
20.048,-12.27
20.052,-12.38
20.056,-12.39
20.06,-12.29
20.065,-12.34
20.069,-12.2
20.073,-12.41
20.077,-12.47
20.081,-12.36
20.085,-12.2
20.089,-12.05
20.093,-11.93
20.097,-11.99
20.102,-12.07
20.106,-11.75
20.11,-12.15
20.114,-12.4
20.122,-12.45
20.126,-12.42
20.13,-12.24
20.134,-12.09
20.138,-12.11
20.143,-12.18
20.147,-11.97
20.151,-12.0
20.155,-11.94
20.159,-11.94
20.163,-11.82
20.167,-11.82
20.171,-11.81
20.175,-11.82
20.18,-11.95
20.184,-11.82
20.188,-11.82
20.192,-11.93
20.196,-11.85
20.2,-11.93
20.204,-12.0
20.208,-12.03
20.212,-12.11
20.217,-12.1
20.221,-12.11
20.225,-12.19
20.229,-12.21
20.233,-12.22
20.237,-12.34
20.241,-12.39
20.245,-12.35
20.249,-12.33
20.254,-12.22
20.258,-12.27
20.262,-12.25
20.266,-12.25
20.27,-12.22
20.274,-12.17
20.278,-12.15
20.282,-12.3
20.286,-12.43
20.291,-12.58
20.295,-12.61
20.299,-12.63
20.303,-12.51
