age(ce),Mg25,Sr88
1869.71,6520.94,124.579
1869.33,6776.42,136.134
1868.98,7151.33,139.448
1868.6,6682.38,139.366
1868.25,5743.65,141.105
1867.87,6562.02,160.732
1867.52,6939.15,220.543
1867.14,6084.3,146.196
1866.79,6808.05,157.887
1866.41,7075.3,162.425
1866.07,5856.93,148.057
1865.69,6084.9,152.953
1865.34,5757.82,163.687
1864.96,6622.23,158.637
1864.61,6440.63,149.842
1864.23,5558.11,137.049
1863.88,6081.98,159.247
1863.5,6099.21,166.34
1863.15,6164.61,162.614
1862.77,7231.31,150.918
1862.42,7012.36,148.542
1862.04,8212.24,176.666
1861.69,7830.65,155.869
1861.31,8315.87,174.899
1860.97,8949.16,160.251
1860.59,8984.92,186.712
1860.24,8146.96,178.605
1859.86,8347.65,173.033
1859.51,8119.24,175.738
1859.13,7930.24,164.717
1858.78,8048.45,168.92
1858.4,6994.79,172.857
1858.05,7075.09,226.452
1857.67,6919.1,267.33
1857.32,6530.09,166.997
1856.94,6341.18,141.111
1856.59,6075.56,154.35
1856.21,6330.54,168.206
1855.87,6053.9,146.503
1855.49,6326.22,158.941
1855.11,5952.39,145.699
1854.76,5979.49,172.695
1854.38,6734.94,162.508
1854.03,5642.42,167.966
1853.65,5376.99,149.219
1853.3,5487.32,152.867
1852.92,6422.02,156.828
1852.57,5606.36,139.258
1852.19,5253.35,146.738
1851.84,6185.85,155.494
1851.46,5800.21,144.577
1851.11,6018.19,157.246
1850.73,5745.38,128.177
1850.39,6123.52,150.367
1850.01,5798.74,159.189
1849.66,6258.97,161.944
1849.28,6382.13,153.755
1848.93,5851.91,151.826
1848.55,6475.54,143.669
1848.2,6145.48,157.977
1847.82,5738.96,177.063
1847.47,6150.5,163.395
1847.09,6756.55,149.324
1846.74,5210.49,148.759
1846.36,6239.65,146.057
1846.01,6431.73,175.603
1845.63,6914.93,152.317
1845.29,6768.84,137.64
1844.91,7114.56,156.421
1844.56,6903.94,145.819
1844.18,7318.42,164.424
1843.83,7605.64,150.021
1843.45,7397.69,165.361
1843.1,7566.52,230
1842.72,7321.8,150.565
1842.37,7509.48,141.531
1841.99,7247.16,177.05
