age,ODL(Optical Density of Luminescence)
44534.6,0.894543
44582.1,0.89799
44629.7,0.901438
44677.3,0.904886
44724.9,0.908779
44772.4,0.913376
44820.0,0.917973
44867.6,0.922571
44915.2,0.927101
44962.8,0.92986
45010.3,0.93262
45057.9,0.93538
45105.5,0.938139
45153.1,0.941214
45200.7,0.944432
45248.2,0.94765
45295.8,0.950868
45343.4,0.954009
45391.0,0.956997
45438.5,0.959985
45486.1,0.962974
45533.7,0.965962
45581.3,0.967588
45628.9,0.969197
45676.4,0.970806
45724.0,0.972415
45771.6,0.972707
45819.2,0.972247
45866.7,0.971788
45914.3,0.971328
45961.9,0.970473
46009.5,0.968633
46057.1,0.966794
46104.6,0.964954
46152.2,0.963114
46199.8,0.961275
46247.4,0.959436
46294.9,0.957597
46342.5,0.955758
46390.1,0.953515
46437.7,0.950986
46485.3,0.948458
46532.8,0.945929
46580.4,0.943128
46628.0,0.939451
46675.6,0.935773
46723.1,0.932095
46770.7,0.928417
46818.3,0.924536
46865.9,0.920628
46913.5,0.91672
46961.0,0.912813
47008.6,0.909151
47056.2,0.905701
47103.8,0.902252
47151.4,0.898802
47198.9,0.895784
47246.5,0.894635
47294.1,0.893486
47341.7,0.892336
47389.2,0.891187
47436.8,0.890807
47484.4,0.890578
47532.0,0.890348
47579.6,0.890118
47627.1,0.890223
47674.7,0.890683
47722.3,0.891143
47769.9,0.891603
47817.4,0.89225
47865.0,0.894089
47912.6,0.895928
47960.2,0.897767
48007.8,0.899606
48055.3,0.902891
48102.9,0.90657
48150.5,0.91025
48198.1,0.91393
48245.6,0.91791
48293.2,0.922277
48340.8,0.926644
48388.4,0.931012
48436.0,0.935239
48483.5,0.937998
48531.1,0.940756
48578.7,0.943514
48626.3,0.946273
48673.9,0.949708
48721.4,0.953386
48769.0,0.957064
48816.6,0.960741
48864.2,0.964242
48911.7,0.96746
48959.3,0.970678
49006.9,0.973896
49054.5,0.97713
49102.1,0.98081
49149.6,0.984489
49197.2,0.988169
49244.8,0.991848
49292.4,0.995898
49339.9,1.00011
49387.5,1.00433
49435.1,1.00855
49482.7,1.01319
49530.3,1.01866
49577.8,1.02413
49625.4,1.02961
49673.0,1.03508
49720.6,1.03972
49768.1,1.04435
49815.7,1.04898
49863.3,1.05361
49910.9,1.05842
49958.5,1.06333
50006.0,1.06824
50053.6,1.07315
50101.2,1.0779
50148.8,1.08225
50196.4,1.0866
50243.9,1.09095
50291.5,1.0953
50339.1,1.09991
50386.7,1.10454
50434.2,1.10917
50481.8,1.1138
50529.4,1.11835
50577.0,1.12284
50624.6,1.12733
50672.1,1.13182
50719.7,1.13611
50767.3,1.13975
50814.9,1.1434
50862.4,1.14705
50910.0,1.1507
50957.6,1.15385
51005.2,1.15694
51052.8,1.16002
51100.3,1.16311
51147.9,1.16635
51195.5,1.16972
51243.1,1.17309
51290.6,1.17645
51338.2,1.17993
51385.8,1.18386
51433.4,1.18778
51481.0,1.19171
51528.5,1.19564
51576.1,1.19734
51623.7,1.1986
51671.3,1.19986
51718.9,1.20113
51766.4,1.20212
51814.0,1.20282
51861.6,1.20352
51909.2,1.20422
51956.7,1.20492
52004.3,1.20562
52051.9,1.20633
52099.5,1.20703
52147.1,1.20773
52194.6,1.208
52242.2,1.20814
52289.8,1.20828
52337.4,1.20842
52384.9,1.20862
52432.5,1.2089
52480.1,1.20918
52527.7,1.20946
52575.3,1.20967
52622.8,1.20911
52670.4,1.20855
52718.0,1.20798
52765.6,1.20742
52813.2,1.20758
52860.7,1.20801
52908.3,1.20843
52955.9,1.20885
53003.5,1.20905
53051.0,1.20891
53098.6,1.20877
53146.2,1.20863
53193.8,1.20846
53241.4,1.20748
53288.9,1.20649
53336.5,1.20551
53384.1,1.20452
53431.7,1.20373
53479.2,1.20303
53526.8,1.20233
53574.4,1.20163
53622.0,1.20112
53669.6,1.20098
53717.1,1.20084
53764.7,1.2007
53812.3,1.20056
53859.9,1.19931
53907.4,1.19805
53955.0,1.19679
54002.6,1.19553
54050.2,1.19453
