age_calBP,Rainfall Index
902,0.0356
903,0.0444
904,0.0533
905,0.0621
906,0.071
907,0.0799
908,0.0349
909,-0.01
910,-0.0549
911,-0.0998
912,-0.0999
913,-0.1
914,-0.0889
915,-0.0778
916,-0.0667
917,-0.0556
918,-0.0557
919,-0.0558
920,-0.0559
921,-0.1008
922,-0.1457
923,-0.1906
924,-0.2355
925,-0.2805
926,-0.2694
927,-0.2583
928,-0.2584
929,-0.251
930,-0.2436
931,-0.2362
932,-0.1691
933,-0.102
934,-0.0125
935,0.077
936,0.1666
937,0.2411
938,0.3157
939,0.3903
940,0.3454
941,0.3229
942,0.3004
943,0.2779
944,0.233
945,0.1881
946,0.1432
947,0.0983
948,0.0533
949,0.0084
950,-0.0085
951,-0.0254
952,-0.0423
953,-0.0592
954,-0.0145
955,0.0526
956,0.1198
957,0.1869
958,0.254
959,0.1867
960,0.1717
961,0.1566
962,0.1416
963,0.1863
964,0.231
965,0.2085
966,0.186
967,0.1299
968,0.0738
969,0.0177
970,-0.0384
971,-0.0385
972,0.0174
973,0.0733
974,0.1292
975,0.1627
976,0.1178
977,0.0729
978,0.028
979,-0.0169
980,-0.017
981,-0.0339
982,-0.0508
983,-0.0677
984,-0.0846
985,-0.1519
986,-0.0997
987,-0.0476
988,0.0046
989,0.0605
990,0.1165
991,0.1164
992,0.0771
993,0.0377
994,-0.0016
995,-0.0409
996,-0.041
997,-0.013
998,0.0149
999,0.0428
1000,0.0707
1001,0.093
1002,0.1601
1003,0.2272
1004,0.2944
1005,0.3839
1006,0.4734
1007,0.4434
1008,0.4135
1009,0.3835
1010,0.2714
1011,0.1593
1012,0.148
1013,0.1367
1014,0.1889
1015,0.241
1016,0.2932
1017,0.3379
1018,0.3098
1019,0.2817
1020,0.2536
1021,0.2255
1022,0.2254
1023,0.3598
1024,0.4941
1025,0.6285
1026,0.7852
1027,0.7403
1028,0.6954
1029,0.6505
1030,0.6056
1031,0.5607
1032,0.5158
1033,0.4933
1034,0.4708
1035,0.4483
1036,0.4258
1037,0.4182
1038,0.4107
1039,0.4031
1040,0.4366
1041,0.4701
1042,0.5074
1043,0.5446
1044,0.5819
1045,0.5706
1046,0.5593
1047,0.5592
1048,0.5591
1049,0.559
1050,0.5589
1051,0.5588
1052,0.6035
1053,0.6408
1054,0.678
1055,0.7153
1056,0.7152
1057,0.7151
1058,0.5134
1059,0.3116
1060,0.2667
1061,0.1322
1062,0.1545
1063,0.1768
1064,0.2215
1065,0.2662
1066,0.311
1067,0.3557
1068,0.4004
1069,0.3555
1070,0.333
1071,0.3217
1072,0.3104
1073,0.3663
1074,0.4223
1075,0.3774
1076,-0.0484
1077,-0.183
1078,-0.3175
1079,-0.3624
1080,-0.3737
1081,-0.385
1082,-0.3515
1083,-0.2956
1084,-0.2359
1085,-0.1762
1086,-0.1166
1087,0.0178
1088,0.0177
1089,0.0064
1090,-0.0049
1091,0.0398
1092,0.0845
1093,0.0396
1094,-0.0053
1095,-0.0502
1096,-0.0951
1097,-0.14
1098,-0.1737
1099,-0.2074
1100,-0.2635
1101,-0.3196
1102,-0.3645
1103,-0.275
1104,-0.0174
1105,0.2402
1106,0.3745
1107,0.4193
1108,0.3445
1109,0.2697
1110,0.1949
1111,0.2733
1112,0.3516
1113,0.5868
1114,0.8219
1115,0.6501
1116,0.4782
1117,0.3063
1118,0.3063
1119,0.3136
1120,0.321
1121,0.3284
1122,0.3619
1123,0.3954
1124,0.3057
1125,0.216
1126,0.2757
1127,0.3353
1128,0.395
1129,0.4621
1130,0.4844
1131,0.5068
1132,0.5291
1133,0.4842
